municipio,estado,bioma,latitude,longitude,frp_previsto,risco,semana_sin,semana_cos,precipitacao_total,dias_sem_chuva_max
MARTINS,RIO GRANDE DO NORTE,Caatinga,-6.084900448979592,-37.90475420408162,13.165763,Alto,0.12053668025532308,-0.992708874098054,2.399074074074074,43.44444444444444
MARTINS SOARES,MINAS GERAIS,Mata Atlântica,-20.25784762237762,-41.83824057342656,9.531144,Médio,0.12053668025532308,-0.992708874098054,1.6034782608695652,22.108695652173914
MARTINÓPOLE,CEARÁ,Caatinga,-3.1847757736389677,-40.64845170343839,12.964997,Alto,0.12053668025532308,-0.992708874098054,1.1138356164383563,46.794520547945204
MARTINÓPOLIS,SÃO PAULO,Cerrado,-22.19598050724638,-51.142573913043485,16.950193,Alto,0.12053668025532308,-0.992708874098054,1.6207407407407406,8.462962962962964
MARUIM,SERGIPE,Mata Atlântica,-10.728840282926823,-37.09808225853659,16.667437,Alto,0.12053668025532308,-0.992708874098054,4.454583333333333,30.25
MARUMBI,PARANÁ,Mata Atlântica,-23.732097908771934,-51.667790863157876,10.873182,Médio,0.12053668025532308,-0.992708874098054,1.8275000000000001,7.803571428571429
MARZAGÃO,GOIÁS,Cerrado,-17.945411592783504,-48.6761440670103,23.098965,Alto,0.12053668025532308,-0.992708874098054,1.8599999999999999,31.14814814814815
MARÍLIA,SÃO PAULO,Mata Atlântica,-22.19841259276366,-49.93967469130101,19.04604,Alto,0.12053668025532308,-0.992708874098054,12.04811111111111,9.322222222222223
MASCOTE,BAHIA,Mata Atlântica,-15.65742828709677,-39.37786999354839,10.670713,Médio,0.12053668025532308,-0.992708874098054,9.410666666666668,15.053333333333333
MASSAPÊ,CEARÁ,Caatinga,-3.490200225454545,-40.40075417298702,14.402235,Alto,0.12053668025532308,-0.992708874098054,5.984659090909091,58.30681818181818
MASSAPÊ DO PIAUÍ,PIAUÍ,Caatinga,-7.522042747440273,-41.09443766894198,16.452873,Alto,0.12053668025532308,-0.992708874098054,3.5796875,30.328125
MASSARANDUBA,PARAÍBA,Caatinga,-7.205557781954888,-35.75831334962407,11.473379,Alto,0.12053668025532308,-0.992708874098054,2.770183486238532,22.844036697247706
MATA,RIO GRANDE DO SUL,Mata Atlântica,-29.515027307692304,-54.42851153846155,4.4555044,Baixo,0.12053668025532308,-0.992708874098054,1.764,5.266666666666667
MATA DE SÃO JOÃO,BAHIA,Mata Atlântica,-12.4736575862069,-38.16461230541872,8.3326025,Médio,0.12053668025532308,-0.992708874098054,2.47921875,15.0625
MATA GRANDE,ALAGOAS,Caatinga,-9.081634175491676,-37.72963299243569,14.410249,Alto,0.12053668025532308,-0.992708874098054,3.9781415929203536,25.20353982300885
MATA ROMA,MARANHÃO,Cerrado,-3.610324626082772,-43.21642142829644,21.8136,Alto,0.12053668025532308,-0.992708874098054,13.72042735042735,27.4017094017094
MATA VERDE,MINAS GERAIS,Mata Atlântica,-15.765735003891049,-40.69137550194554,11.4921255,Alto,0.12053668025532308,-0.992708874098054,1.6246666666666665,22.95
